# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_Rdf[1] c_Rdf[2] c_Rdf[3]
0 200
106 2.6375 3.03042 7.064
107 2.6625 3.75635 7.736
108 2.6875 3.51123 8.376
109 2.7125 2.77898 8.892
110 2.7375 2.55925 9.376
111 2.7625 1.93159 9.748
112 2.7875 1.61151 10.064
113 2.8125 1.4828 10.36
114 2.8375 1.2993 10.624
115 2.8625 1.43145 10.92
116 2.8875 0.87448 11.104
117 2.9125 0.597935 11.232
118 2.9375 0.936808 11.436
119 2.9625 0.704343 11.592
120 2.9875 0.58605 11.724
121 3.0125 0.541432 11.848
122 3.0375 0.515377 11.968
123 3.0625 0.456297 12.076
124 3.0875 0.482193 12.192
125 3.1125 0.425394 12.296
126 3.1375 0.257626 12.36
127 3.1625 0.348657 12.448
128 3.1875 0.218406 12.504
129 3.2125 0.168944 12.548
130 3.2375 0.302446 12.628
131 3.2625 0.31272 12.712
132 3.2875 0.322647 12.8
133 3.3125 0.317795 12.888
134 3.3375 0.298823 12.972
135 3.3625 0.280377 13.052
136 3.3875 0.262441 13.128
137 3.4125 0.244999 13.2
138 3.4375 0.308517 13.292
139 3.4625 0.158649 13.34
140 3.4875 0.312766 13.436
141 3.5125 0.256942 13.516
142 3.5375 0.265989 13.6
143 3.5625 0.324714 13.704
144 3.5875 0.406413 13.836
145 3.6125 0.267205 13.924
146 3.6375 0.33542 14.036
147 3.6625 0.354489 14.156
148 3.6875 0.338042 14.272
149 3.7125 0.460007 14.432
150 3.7375 0.363099 14.56
151 3.7625 0.403076 14.704
152 3.7875 0.43092 14.86
153 3.8125 0.458002 15.028
154 3.8375 0.591975 15.248
155 3.8625 0.563088 15.46
156 3.8875 0.650262 15.708
157 3.9125 0.641978 15.956
158 3.9375 0.552065 16.172
159 3.9625 0.696543 16.448
160 3.9875 0.887209 16.804
161 4.0125 0.954947 17.192
162 4.0375 0.972327 17.592
163 4.0625 0.960397 17.992
164 4.0875 1.19534 18.496
165 4.1125 1.36829 19.08
166 4.1375 1.37032 19.672
167 4.1625 1.50943 20.332
168 4.1875 1.3378 20.924
169 4.2125 1.50954 21.6
170 4.2375 1.50061 22.28
171 4.2625 1.66626 23.044
172 4.2875 1.54341 23.76
173 4.3125 1.57671 24.5
174 4.3375 1.86188 25.384
175 4.3625 1.6657 26.184
176 4.3875 1.57267 26.948
177 4.4125 1.47349 27.672
178 4.4375 1.37644 28.356
179 4.4625 1.6874 29.204
180 4.4875 1.58994 30.012
181 4.5125 1.24544 30.652
182 4.5375 1.33184 31.344
183 4.5625 1.30205 32.028
184 4.5875 1.21258 32.672
185 4.6125 1.13987 33.284
186 4.6375 1.14236 33.904
187 4.6625 1.08639 34.5
188 4.6875 1.11812 35.12
189 4.7125 1.15625 35.768
190 4.7375 1.12289 36.404
191 4.7625 1.36271 37.184
192 4.7875 1.00966 37.768
193 4.8125 1.17713 38.456
194 4.8375 1.47656 39.328
195 4.8625 1.34746 40.132
196 4.8875 1.16782 40.836
197 4.9125 1.3333 41.648
198 4.9375 1.11178 42.332
199 4.9625 1.45461 43.236
200 4.9875 1.22341 44.004
