# Time-averaged data for fix frdfij
# TimeStep Number-of-rows
# Row c_Rdfij[1] c_Rdfij[2] c_Rdfij[3] c_Rdfij[4] c_Rdfij[5] c_Rdfij[6] c_Rdfij[7]
50000 200
124 3.0875 0.857601 3.30065 2.12688 1.85317 1.72988 4.02554
125 3.1125 0.648303 3.3532 1.95758 2.00897 1.58602 4.15179
126 3.1375 0.670091 3.4084 2.08551 2.17763 1.55358 4.27745
127 3.1625 0.652522 3.46301 2.07451 2.34809 1.39335 4.39196
128 3.1875 0.62506 3.51615 2.12091 2.52512 1.45775 4.51365
129 3.2125 0.615369 3.56929 1.96811 2.69199 1.2828 4.62243
130 3.2375 0.559037 3.61832 2.08369 2.87141 1.26818 4.73165
131 3.2625 0.58017 3.66999 2.06556 3.05203 1.22196 4.83852
132 3.2875 0.509697 3.71609 1.86586 3.2177 1.07947 4.93438
133 3.3125 0.537206 3.76541 1.88425 3.38756 1.08115 5.03186
134 3.3375 0.570138 3.81856 1.95743 3.56669 1.07463 5.13021
135 3.3625 0.688925 3.88373 1.8737 3.74073 1.01131 5.22416
136 3.3875 0.58095 3.93952 1.83346 3.91358 0.899907 5.30901
137 3.4125 0.530287 3.99119 1.62852 4.06938 1.04326 5.40884
138 3.4375 0.507755 4.0414 1.65113 4.22967 0.886014 5.49486
139 3.4625 0.541422 4.09571 1.53022 4.38038 0.909031 5.58441
140 3.4875 0.579844 4.15473 1.5742 4.53768 0.923955 5.67675
141 3.5125 0.597215 4.21638 1.35715 4.67524 0.832652 5.76116
142 3.5375 0.529923 4.27187 1.32058 4.811 0.798082 5.84322
143 3.5625 0.539099 4.32913 1.40823 4.95783 0.805221 5.92719
144 3.5875 0.507076 4.38373 1.25857 5.09091 0.839847 6.016
145 3.6125 0.618381 4.45126 1.19101 5.2186 0.768026 6.09836
146 3.6375 0.578089 4.51527 1.08116 5.33612 0.716997 6.17631
147 3.6625 0.564992 4.57868 1.05831 5.45275 0.716565 6.25528
148 3.6875 0.549616 4.64122 1.01456 5.56609 0.717393 6.33544
149 3.7125 0.590608 4.70934 0.919069 5.67016 0.676653 6.41207
150 3.7375 0.597804 4.77921 0.927662 5.77661 0.658679 6.48767
151 3.7625 0.644413 4.85555 0.969372 5.88935 0.689078 6.56782
152 3.7875 0.69219 4.93864 0.837357 5.98804 0.673784 6.64724
153 3.8125 0.615552 5.01351 0.863976 6.09121 0.596144 6.71844
154 3.8375 0.607558 5.08837 0.783546 6.186 0.674539 6.80006
155 3.8625 0.627941 5.16676 0.814914 6.28589 0.645477 6.87918
156 3.8875 0.703471 5.25573 0.732209 6.37679 0.640748 6.95875
157 3.9125 0.655544 5.33969 0.732393 6.4689 0.650093 7.04052
158 3.9375 0.721928 5.43335 0.730166 6.5619 0.647626 7.12302
159 3.9625 0.69497 5.52466 0.734891 6.6567 0.626963 7.2039
160 3.9875 0.770138 5.62713 0.689076 6.74671 0.597777 7.282
161 4.0125 0.832487 5.73928 0.74156 6.8448 0.613655 7.36318
162 4.0375 0.766248 5.84381 0.596195 6.92464 0.63567 7.44833
163 4.0625 0.814247 5.95625 0.610935 7.00748 0.646274 7.53597
164 4.0875 0.819018 6.07076 0.644879 7.09599 0.686513 7.63021
165 4.1125 0.883776 6.19583 0.697325 7.19288 0.682417 7.72504
166 4.1375 0.842384 6.3165 0.661282 7.28589 0.688806 7.82193
167 4.1625 0.909248 6.44833 0.703783 7.38606 0.67437 7.91794
168 4.1875 0.944445 6.58691 0.718239 7.48953 0.717286 8.02129
169 4.2125 0.947109 6.72754 0.652303 7.58463 0.661477 8.11773
170 4.2375 0.941829 6.86905 0.595978 7.67255 0.684539 8.21873
171 4.2625 1.06793 7.03142 0.63108 7.76675 0.671616 8.319
172 4.2875 1.02306 7.18878 0.722748 7.8759 0.68616 8.42264
173 4.3125 1.0301 7.34909 0.677205 7.97937 0.750278 8.53729
174 4.3375 1.0425 7.51321 0.68103 8.08463 0.734057 8.65076
175 4.3625 1.11724 7.69113 0.705762 8.19498 0.70126 8.76042
176 4.3875 1.05169 7.86054 0.688287 8.30383 0.712781 8.87317
177 4.4125 1.08846 8.03787 0.710422 8.41746 0.747855 8.99281
178 4.4375 1.10652 8.2202 0.783775 8.54426 0.731286 9.11113
179 4.4625 1.06773 8.39812 0.760395 8.66866 0.759002 9.23532
180 4.4875 1.1395 8.59014 0.710373 8.78618 0.796703 9.36715
181 4.5125 1.06143 8.77099 0.695373 8.90251 0.790532 9.49941
182 4.5375 1.12475 8.96477 0.730162 9.02602 0.808746 9.63623
183 4.5625 1.15797 9.16647 0.778138 9.15909 0.830805 9.77833
184 4.5875 1.09203 9.35878 0.750655 9.28888 0.855732 9.92631
185 4.6125 1.19402 9.57134 0.76136 9.42195 0.915341 10.0863
186 4.6375 1.17955 9.78362 0.770098 9.55801 0.912145 10.2475
187 4.6625 1.22019 10.0056 0.848932 9.70963 0.89828 10.408
188 4.6875 1.23915 10.2334 0.737191 9.8427 0.944015 10.5784
