# No.	h	k	l	K_0	K_1	K_2	Intensity
1	-24	-3	-2	-1.68108000	-0.21013500	-0.14009000	0.00000000
2	-24	-3	-1	-1.68108000	-0.21013500	-0.07004500	0.00000000
3	-24	-3	0	-1.68108000	-0.21013500	0.00000000	0.00000000
4	-24	-3	1	-1.68108000	-0.21013500	0.07004500	0.00000000
5	-24	-3	2	-1.68108000	-0.21013500	0.14009000	0.00000000
6	-24	-2	-3	-1.68108000	-0.14009000	-0.21013500	0.00000000
7	-24	-2	-2	-1.68108000	-0.14009000	-0.14009000	0.00000000
8	-24	-2	-1	-1.68108000	-0.14009000	-0.07004500	0.00000000
9	-24	-2	0	-1.68108000	-0.14009000	0.00000000	0.00000000
10	-24	-2	1	-1.68108000	-0.14009000	0.07004500	0.00000000
11	-24	-2	2	-1.68108000	-0.14009000	0.14009000	0.00000000
12	-24	-2	3	-1.68108000	-0.14009000	0.21013500	0.00000000
13	-24	-1	-3	-1.68108000	-0.07004500	-0.21013500	0.00000000
14	-24	-1	-2	-1.68108000	-0.07004500	-0.14009000	0.00000000
15	-24	-1	-1	-1.68108000	-0.07004500	-0.07004500	0.00000000
16	-24	-1	0	-1.68108000	-0.07004500	0.00000000	0.00000000
17	-24	-1	1	-1.68108000	-0.07004500	0.07004500	0.00000000
18	-24	-1	2	-1.68108000	-0.07004500	0.14009000	0.00000000
19	-24	-1	3	-1.68108000	-0.07004500	0.21013500	0.00000000
20	-24	0	-3	-1.68108000	0.00000000	-0.21013500	0.00000000
21	-24	0	-2	-1.68108000	0.00000000	-0.14009000	0.00000000
22	-24	0	-1	-1.68108000	0.00000000	-0.07004500	0.00000000
23	-24	0	0	-1.68108000	0.00000000	0.00000000	0.00001846
24	-24	0	1	-1.68108000	0.00000000	0.07004500	0.00000000
25	-24	0	2	-1.68108000	0.00000000	0.14009000	0.00000000
26	-24	0	3	-1.68108000	0.00000000	0.21013500	0.00000000
27	-24	1	-3	-1.68108000	0.07004500	-0.21013500	0.00000000
28	-24	1	-2	-1.68108000	0.07004500	-0.14009000	0.00000000
29	-24	1	-1	-1.68108000	0.07004500	-0.07004500	0.00000000
30	-24	1	0	-1.68108000	0.07004500	0.00000000	0.00000000
31	-24	1	1	-1.68108000	0.07004500	0.07004500	0.00000000
32	-24	1	2	-1.68108000	0.07004500	0.14009000	0.00000000
33	-24	1	3	-1.68108000	0.07004500	0.21013500	0.00000000
34	-24	2	-3	-1.68108000	0.14009000	-0.21013500	0.00000000
35	-24	2	-2	-1.68108000	0.14009000	-0.14009000	0.00000000
36	-24	2	-1	-1.68108000	0.14009000	-0.07004500	0.00000000
37	-24	2	0	-1.68108000	0.14009000	0.00000000	0.00000000
38	-24	2	1	-1.68108000	0.14009000	0.07004500	0.00000000
39	-24	2	2	-1.68108000	0.14009000	0.14009000	0.00000000
40	-24	2	3	-1.68108000	0.14009000	0.21013500	0.00000000
41	-24	3	-2	-1.68108000	0.21013500	-0.14009000	0.00000000
42	-24	3	-1	-1.68108000	0.21013500	-0.07004500	0.00000000
43	-24	3	0	-1.68108000	0.21013500	0.00000000	0.00000000
44	-24	3	1	-1.68108000	0.21013500	0.07004500	0.00000000
45	-24	3	2	-1.68108000	0.21013500	0.14009000	0.00000000
46	-23	-7	-3	-1.61103500	-0.49031500	-0.21013500	0.00000000
47	-23	-7	-2	-1.61103500	-0.49031500	-0.14009000	0.00000000
48	-23	-7	-1	-1.61103500	-0.49031500	-0.07004500	0.00000000
49	-23	-7	0	-1.61103500	-0.49031500	0.00000000	0.00000000
50	-23	-7	1	-1.61103500	-0.49031500	0.07004500	0.00000000
51	-23	-7	2	-1.61103500	-0.49031500	0.14009000	0.00000000
52	-23	-7	3	-1.61103500	-0.49031500	0.21013500	0.00000000
53	-23	-6	-4	-1.61103500	-0.42027000	-0.28018000	0.00000000
54	-23	-6	-3	-1.61103500	-0.42027000	-0.21013500	0.00000000
55	-23	-6	-2	-1.61103500	-0.42027000	-0.14009000	0.00000000
56	-23	-6	-1	-1.61103500	-0.42027000	-0.07004500	0.00000000
57	-23	-6	0	-1.61103500	-0.42027000	0.00000000	0.00000000
58	-23	-6	1	-1.61103500	-0.42027000	0.07004500	0.00000000
59	-23	-6	2	-1.61103500	-0.42027000	0.14009000	0.00000000
60	-23	-6	3	-1.61103500	-0.42027000	0.21013500	0.00000000
61	-23	-6	4	-1.61103500	-0.42027000	0.28018000	0.00000000
62	-23	-5	-5	-1.61103500	-0.35022500	-0.35022500	0.00002334
63	-23	-5	-4	-1.61103500	-0.35022500	-0.28018000	0.00000000
64	-23	-5	-3	-1.61103500	-0.35022500	-0.21013500	0.00000000
65	-23	-5	-2	-1.61103500	-0.35022500	-0.14009000	0.00000000
66	-23	-5	-1	-1.61103500	-0.35022500	-0.07004500	0.00000000
67	-23	-5	0	-1.61103500	-0.35022500	0.00000000	0.00004567
68	-23	-5	1	-1.61103500	-0.35022500	0.07004500	0.00000000
69	-23	-5	2	-1.61103500	-0.35022500	0.14009000	0.00000000
70	-23	-5	3	-1.61103500	-0.35022500	0.21013500	0.00000000
71	-23	-5	4	-1.61103500	-0.35022500	0.28018000	0.00000000
72	-23	-5	5	-1.61103500	-0.35022500	0.35022500	0.00002334
73	-23	-4	-6	-1.61103500	-0.28018000	-0.42027000	0.00000000
74	-23	-4	-5	-1.61103500	-0.28018000	-0.35022500	0.00000000
75	-23	-4	-4	-1.61103500	-0.28018000	-0.28018000	0.00000000
76	-23	-4	-3	-1.61103500	-0.28018000	-0.21013500	0.00000000
77	-23	-4	-2	-1.61103500	-0.28018000	-0.14009000	0.00000000
78	-23	-4	-1	-1.61103500	-0.28018000	-0.07004500	0.00000000
79	-23	-4	0	-1.61103500	-0.28018000	0.00000000	0.00000000
80	-23	-4	1	-1.61103500	-0.28018000	0.07004500	0.00000000
81	-23	-4	2	-1.61103500	-0.28018000	0.14009000	0.00000000
82	-23	-4	3	-1.61103500	-0.28018000	0.21013500	0.00000000
83	-23	-4	4	-1.61103500	-0.28018000	0.28018000	0.00000000
84	-23	-4	5	-1.61103500	-0.28018000	0.35022500	0.00000000
85	-23	-4	6	-1.61103500	-0.28018000	0.42027000	0.00000000
86	-23	-3	-7	-1.61103500	-0.21013500	-0.49031500	0.00000000
87	-23	-3	-6	-1.61103500	-0.21013500	-0.42027000	0.00000000
88	-23	-3	-5	-1.61103500	-0.21013500	-0.35022500	0.00000000
89	-23	-3	-4	-1.61103500	-0.21013500	-0.28018000	0.00000000
90	-23	-3	-3	-1.61103500	-0.21013500	-0.21013500	0.00000000
91	-23	-3	-2	-1.61103500	-0.21013500	-0.14009000	0.00000000
92	-23	-3	-1	-1.61103500	-0.21013500	-0.07004500	0.00000000
93	-23	-3	0	-1.61103500	-0.21013500	0.00000000	0.00000000
94	-23	-3	1	-1.61103500	-0.21013500	0.07004500	0.00000000
95	-23	-3	2	-1.61103500	-0.21013500	0.14009000	0.00000000
96	-23	-3	3	-1.61103500	-0.21013500	0.21013500	0.00000000
97	-23	-3	4	-1.61103500	-0.21013500	0.28018000	0.00000000
98	-23	-3	5	-1.61103500	-0.21013500	0.35022500	0.00000000
99	-23	-3	6	-1.61103500	-0.21013500	0.42027000	0.00000000
100	-23	-3	7	-1.61103500	-0.21013500	0.49031500	0.00000000
101	-23	-2	-7	-1.61103500	-0.14009000	-0.49031500	0.00000000
102	-23	-2	-6	-1.61103500	-0.14009000	-0.42027000	0.00000000
103	-23	-2	-5	-1.61103500	-0.14009000	-0.35022500	0.00000000
104	-23	-2	-4	-1.61103500	-0.14009000	-0.28018000	0.00000000
105	-23	-2	-3	-1.61103500	-0.14009000	-0.21013500	0.00000000
106	-23	-2	-2	-1.61103500	-0.14009000	-0.14009000	0.00000000
107	-23	-2	-1	-1.61103500	-0.14009000	-0.07004500	0.00000000
108	-23	-2	0	-1.61103500	-0.14009000	0.00000000	0.00000000
109	-23	-2	1	-1.61103500	-0.14009000	0.07004500	0.00000000
110	-23	-2	2	-1.61103500	-0.14009000	0.14009000	0.00000000
111	-23	-2	3	-1.61103500	-0.14009000	0.21013500	0.00000000
112	-23	-2	4	-1.61103500	-0.14009000	0.28018000	0.00000000
113	-23	-2	5	-1.61103500	-0.14009000	0.35022500	0.00000000
114	-23	-2	6	-1.61103500	-0.14009000	0.42027000	0.00000000
115	-23	-2	7	-1.61103500	-0.14009000	0.49031500	0.00000000
116	-23	-1	-7	-1.61103500	-0.07004500	-0.49031500	0.00000000
117	-23	-1	-6	-1.61103500	-0.07004500	-0.42027000	0.00000000
118	-23	-1	-5	-1.61103500	-0.07004500	-0.35022500	0.00000000
119	-23	-1	-4	-1.61103500	-0.07004500	-0.28018000	0.00000000
120	-23	-1	-3	-1.61103500	-0.07004500	-0.21013500	0.00000000
121	-23	-1	-2	-1.61103500	-0.07004500	-0.14009000	0.00000000
122	-23	-1	-1	-1.61103500	-0.07004500	-0.07004500	0.00000000
123	-23	-1	0	-1.61103500	-0.07004500	0.00000000	0.00000000
124	-23	-1	1	-1.61103500	-0.07004500	0.07004500	0.00000000
125	-23	-1	2	-1.61103500	-0.07004500	0.14009000	0.00000000
126	-23	-1	3	-1.61103500	-0.07004500	0.21013500	0.00000000
127	-23	-1	4	-1.61103500	-0.07004500	0.28018000	0.00000000
128	-23	-1	5	-1.61103500	-0.07004500	0.35022500	0.00000000
129	-23	-1	6	-1.61103500	-0.07004500	0.42027000	0.00000000
130	-23	-1	7	-1.61103500	-0.07004500	0.49031500	0.00000000
131	-23	0	-7	-1.61103500	0.00000000	-0.49031500	0.00000000
132	-23	0	-6	-1.61103500	0.00000000	-0.42027000	0.00000000
133	-23	0	-5	-1.61103500	0.00000000	-0.35022500	0.00004567
134	-23	0	-4	-1.61103500	0.00000000	-0.28018000	0.00000000
135	-23	0	-3	-1.61103500	0.00000000	-0.21013500	0.00000000
136	-23	0	-2	-1.61103500	0.00000000	-0.14009000	0.00000000
137	-23	0	-1	-1.61103500	0.00000000	-0.07004500	0.00000000
138	-23	0	0	-1.61103500	0.00000000	0.00000000	0.00002495
139	-23	0	1	-1.61103500	0.00000000	0.07004500	0.00000000
140	-23	0	2	-1.61103500	0.00000000	0.14009000	0.00000000
141	-23	0	3	-1.61103500	0.00000000	0.21013500	0.00000000
142	-23	0	4	-1.61103500	0.00000000	0.28018000	0.00000000
143	-23	0	5	-1.61103500	0.00000000	0.35022500	0.00004567
144	-23	0	6	-1.61103500	0.00000000	0.42027000	0.00000000
145	-23	0	7	-1.61103500	0.00000000	0.49031500	0.00000000
146	-23	1	-7	-1.61103500	0.07004500	-0.49031500	0.00000000
147	-23	1	-6	-1.61103500	0.07004500	-0.42027000	0.00000000
148	-23	1	-5	-1.61103500	0.07004500	-0.35022500	0.00000000
149	-23	1	-4	-1.61103500	0.07004500	-0.28018000	0.00000000
150	-23	1	-3	-1.61103500	0.07004500	-0.21013500	0.00000000
151	-23	1	-2	-1.61103500	0.07004500	-0.14009000	0.00000000
152	-23	1	-1	-1.61103500	0.07004500	-0.07004500	0.00000000
153	-23	1	0	-1.61103500	0.07004500	0.00000000	0.00000000
154	-23	1	1	-1.61103500	0.07004500	0.07004500	0.00000000
155	-23	1	2	-1.61103500	0.07004500	0.14009000	0.00000000
156	-23	1	3	-1.61103500	0.07004500	0.21013500	0.00000000
157	-23	1	4	-1.61103500	0.07004500	0.28018000	0.00000000
158	-23	1	5	-1.61103500	0.07004500	0.35022500	0.00000000
159	-23	1	6	-1.61103500	0.07004500	0.42027000	0.00000000
160	-23	1	7	-1.61103500	0.07004500	0.49031500	0.00000000
161	-23	2	-7	-1.61103500	0.14009000	-0.49031500	0.00000000
162	-23	2	-6	-1.61103500	0.14009000	-0.42027000	0.00000000
163	-23	2	-5	-1.61103500	0.14009000	-0.35022500	0.00000000
164	-23	2	-4	-1.61103500	0.14009000	-0.28018000	0.00000000
165	-23	2	-3	-1.61103500	0.14009000	-0.21013500	0.00000000
166	-23	2	-2	-1.61103500	0.14009000	-0.14009000	0.00000000
167	-23	2	-1	-1.61103500	0.14009000	-0.07004500	0.00000000
168	-23	2	0	-1.61103500	0.14009000	0.00000000	0.00000000
169	-23	2	1	-1.61103500	0.14009000	0.07004500	0.00000000
170	-23	2	2	-1.61103500	0.14009000	0.14009000	0.00000000
171	-23	2	3	-1.61103500	0.14009000	0.21013500	0.00000000
172	-23	2	4	-1.61103500	0.14009000	0.28018000	0.00000000
173	-23	2	5	-1.61103500	0.14009000	0.35022500	0.00000000
174	-23	2	6	-1.61103500	0.14009000	0.42027000	0.00000000
175	-23	2	7	-1.61103500	0.14009000	0.49031500	0.00000000
176	-23	3	-7	-1.61103500	0.21013500	-0.49031500	0.00000000
177	-23	3	-6	-1.61103500	0.21013500	-0.42027000	0.00000000
178	-23	3	-5	-1.61103500	0.21013500	-0.35022500	0.00000000
179	-23	3	-4	-1.61103500	0.21013500	-0.28018000	0.00000000
180	-23	3	-3	-1.61103500	0.21013500	-0.21013500	0.00000000
181	-23	3	-2	-1.61103500	0.21013500	-0.14009000	0.00000000
182	-23	3	-1	-1.61103500	0.21013500	-0.07004500	0.00000000
183	-23	3	0	-1.61103500	0.21013500	0.00000000	0.00000000
184	-23	3	1	-1.61103500	0.21013500	0.07004500	0.00000000
185	-23	3	2	-1.61103500	0.21013500	0.14009000	0.00000000
186	-23	3	3	-1.61103500	0.21013500	0.21013500	0.00000000
187	-23	3	4	-1.61103500	0.21013500	0.28018000	0.00000000
188	-23	3	5	-1.61103500	0.21013500	0.35022500	0.00000000
189	-23	3	6	-1.61103500	0.21013500	0.42027000	0.00000000
190	-23	3	7	-1.61103500	0.21013500	0.49031500	0.00000000
191	-23	4	-6	-1.61103500	0.28018000	-0.42027000	0.00000000
192	-23	4	-5	-1.61103500	0.28018000	-0.35022500	0.00000000
193	-23	4	-4	-1.61103500	0.28018000	-0.28018000	0.00000000
194	-23	4	-3	-1.61103500	0.28018000	-0.21013500	0.00000000
195	-23	4	-2	-1.61103500	0.28018000	-0.14009000	0.00000000
196	-23	4	-1	-1.61103500	0.28018000	-0.07004500	0.00000000
197	-23	4	0	-1.61103500	0.28018000	0.00000000	0.00000000
198	-23	4	1	-1.61103500	0.28018000	0.07004500	0.00000000
199	-23	4	2	-1.61103500	0.28018000	0.14009000	0.00000000
200	-23	4	3	-1.61103500	0.28018000	0.21013500	0.00000000
201	-23	4	4	-1.61103500	0.28018000	0.28018000	0.00000000
202	-23	4	5	-1.61103500	0.28018000	0.35022500	0.00000000
203	-23	4	6	-1.61103500	0.28018000	0.42027000	0.00000000
204	-23	5	-5	-1.61103500	0.35022500	-0.35022500	0.00002334
205	-23	5	-4	-1.61103500	0.35022500	-0.28018000	0.00000000
206	-23	5	-3	-1.61103500	0.35022500	-0.21013500	0.00000000
207	-23	5	-2	-1.61103500	0.35022500	-0.14009000	0.00000000
208	-23	5	-1	-1.61103500	0.35022500	-0.07004500	0.00000000
209	-23	5	0	-1.61103500	0.35022500	0.00000000	0.00004567
210	-23	5	1	-1.61103500	0.35022500	0.07004500	0.00000000
211	-23	5	2	-1.61103500	0.35022500	0.14009000	0.00000000
212	-23	5	3	-1.61103500	0.35022500	0.21013500	0.00000000
213	-23	5	4	-1.61103500	0.35022500	0.28018000	0.00000000
214	-23	5	5	-1.61103500	0.35022500	0.35022500	0.00002334
215	-23	6	-4	-1.61103500	0.42027000	-0.28018000	0.00000000
216	-23	6	-3	-1.61103500	0.42027000	-0.21013500	0.00000000
217	-23	6	-2	-1.61103500	0.42027000	-0.14009000	0.00000000
218	-23	6	-1	-1.61103500	0.42027000	-0.07004500	0.00000000
219	-23	6	0	-1.61103500	0.42027000	0.00000000	0.00000000
220	-23	6	1	-1.61103500	0.42027000	0.07004500	0.00000000
221	-23	6	2	-1.61103500	0.42027000	0.14009000	0.00000000
222	-23	6	3	-1.61103500	0.42027000	0.21013500	0.00000000
223	-23	6	4	-1.61103500	0.42027000	0.28018000	0.00000000
224	-23	7	-3	-1.61103500	0.49031500	-0.21013500	0.00000000
225	-23	7	-2	-1.61103500	0.49031500	-0.14009000	0.00000000
226	-23	7	-1	-1.61103500	0.49031500	-0.07004500	0.00000000
227	-23	7	0	-1.61103500	0.49031500	0.00000000	0.00000000
228	-23	7	1	-1.61103500	0.49031500	0.07004500	0.00000000
229	-23	7	2	-1.61103500	0.49031500	0.14009000	0.00000000
230	-23	7	3	-1.61103500	0.49031500	0.21013500	0.00000000
231	-22	-10	-2	-1.54099000	-0.70045000	-0.14009000	0.00000000
232	-22	-10	-1	-1.54099000	-0.70045000	-0.07004500	0.00000000
233	-22	-10	0	-1.54099000	-0.70045000	0.00000000	0.00004021
234	-22	-10	1	-1.54099000	-0.70045000	0.07004500	0.00000000
235	-22	-10	2	-1.54099000	-0.70045000	0.14009000	0.00000000
236	-22	-9	-4	-1.54099000	-0.63040500	-0.28018000	0.00000000
237	-22	-9	-3	-1.54099000	-0.63040500	-0.21013500	0.00000000
238	-22	-9	-2	-1.54099000	-0.63040500	-0.14009000	0.00000000
239	-22	-9	-1	-1.54099000	-0.63040500	-0.07004500	0.00000000
240	-22	-9	0	-1.54099000	-0.63040500	0.00000000	0.00000000
241	-22	-9	1	-1.54099000	-0.63040500	0.07004500	0.00000000
242	-22	-9	2	-1.54099000	-0.63040500	0.14009000	0.00000000
243	-22	-9	3	-1.54099000	-0.63040500	0.21013500	0.00000000
244	-22	-9	4	-1.54099000	-0.63040500	0.28018000	0.00000000
245	-22	-8	-6	-1.54099000	-0.56036000	-0.42027000	0.00000000
246	-22	-8	-5	-1.54099000	-0.56036000	-0.35022500	0.00000000
247	-22	-8	-4	-1.54099000	-0.56036000	-0.28018000	0.00000000
248	-22	-8	-3	-1.54099000	-0.56036000	-0.21013500	0.00000000
249	-22	-8	-2	-1.54099000	-0.56036000	-0.14009000	0.00000000
250	-22	-8	-1	-1.54099000	-0.56036000	-0.07004500	0.00000000
251	-22	-8	0	-1.54099000	-0.56036000	0.00000000	0.00000000
252	-22	-8	1	-1.54099000	-0.56036000	0.07004500	0.00000000
253	-22	-8	2	-1.54099000	-0.56036000	0.14009000	0.00000000
254	-22	-8	3	-1.54099000	-0.56036000	0.21013500	0.00000000
255	-22	-8	4	-1.54099000	-0.56036000	0.28018000	0.00000000
256	-22	-8	5	-1.54099000	-0.56036000	0.35022500	0.00000000
257	-22	-8	6	-1.54099000	-0.56036000	0.42027000	0.00000000
258	-22	-7	-7	-1.54099000	-0.49031500	-0.49031500	0.00000000
259	-22	-7	-6	-1.54099000	-0.49031500	-0.42027000	0.00000000
260	-22	-7	-5	-1.54099000	-0.49031500	-0.35022500	0.00000000
261	-22	-7	-4	-1.54099000	-0.49031500	-0.28018000	0.00000000
262	-22	-7	-3	-1.54099000	-0.49031500	-0.21013500	0.00000000
263	-22	-7	-2	-1.54099000	-0.49031500	-0.14009000	0.00000000
264	-22	-7	-1	-1.54099000	-0.49031500	-0.07004500	0.00000000
265	-22	-7	0	-1.54099000	-0.49031500	0.00000000	0.00000000
266	-22	-7	1	-1.54099000	-0.49031500	0.07004500	0.00000000
267	-22	-7	2	-1.54099000	-0.49031500	0.14009000	0.00000000
268	-22	-7	3	-1.54099000	-0.49031500	0.21013500	0.00000000
269	-22	-7	4	-1.54099000	-0.49031500	0.28018000	0.00000000
270	-22	-7	5	-1.54099000	-0.49031500	0.35022500	0.00000000
271	-22	-7	6	-1.54099000	-0.49031500	0.42027000	0.00000000
272	-22	-7	7	-1.54099000	-0.49031500	0.49031500	0.00000000
273	-22	-6	-8	-1.54099000	-0.42027000	-0.56036000	0.00000000
274	-22	-6	-7	-1.54099000	-0.42027000	-0.49031500	0.00000000
275	-22	-6	-6	-1.54099000	-0.42027000	-0.42027000	0.00000000
276	-22	-6	-5	-1.54099000	-0.42027000	-0.35022500	0.00000000
277	-22	-6	-4	-1.54099000	-0.42027000	-0.28018000	0.00000000
278	-22	-6	-3	-1.54099000	-0.42027000	-0.21013500	0.00000000
279	-22	-6	-2	-1.54099000	-0.42027000	-0.14009000	0.00000000
280	-22	-6	-1	-1.54099000	-0.42027000	-0.07004500	0.00000000
281	-22	-6	0	-1.54099000	-0.42027000	0.00000000	0.00000000
282	-22	-6	1	-1.54099000	-0.42027000	0.07004500	0.00000000
283	-22	-6	2	-1.54099000	-0.42027000	0.14009000	0.00000000
284	-22	-6	3	-1.54099000	-0.42027000	0.21013500	0.00000000
285	-22	-6	4	-1.54099000	-0.42027000	0.28018000	0.00000000
286	-22	-6	5	-1.54099000	-0.42027000	0.35022500	0.00000000
287	-22	-6	6	-1.54099000	-0.42027000	0.42027000	0.00000000
288	-22	-6	7	-1.54099000	-0.42027000	0.49031500	0.00000000
289	-22	-6	8	-1.54099000	-0.42027000	0.56036000	0.00000000
290	-22	-5	-8	-1.54099000	-0.35022500	-0.56036000	0.00000000
291	-22	-5	-7	-1.54099000	-0.35022500	-0.49031500	0.00000000
292	-22	-5	-6	-1.54099000	-0.35022500	-0.42027000	0.00000000
293	-22	-5	-5	-1.54099000	-0.35022500	-0.35022500	0.00004293
294	-22	-5	-4	-1.54099000	-0.35022500	-0.28018000	0.00000000
295	-22	-5	-3	-1.54099000	-0.35022500	-0.21013500	0.00000000
296	-22	-5	-2	-1.54099000	-0.35022500	-0.14009000	0.00000000
297	-22	-5	-1	-1.54099000	-0.35022500	-0.07004500	0.00000000
298	-22	-5	0	-1.54099000	-0.35022500	0.00000000	0.00002350
299	-22	-5	1	-1.54099000	-0.35022500	0.07004500	0.00000000
300	-22	-5	2	-1.54099000	-0.35022500	0.14009000	0.00000000
301	-22	-5	3	-1.54099000	-0.35022500	0.21013500	0.00000000
302	-22	-5	4	-1.54099000	-0.35022500	0.28018000	0.00000000
303	-22	-5	5	-1.54099000	-0.35022500	0.35022500	0.00004293
304	-22	-5	6	-1.54099000	-0.35022500	0.42027000	0.00000000
305	-22	-5	7	-1.54099000	-0.35022500	0.49031500	0.00000000
306	-22	-5	8	-1.54099000	-0.35022500	0.56036000	0.00000000
307	-22	-4	-9	-1.54099000	-0.28018000	-0.63040500	0.00000000
308	-22	-4	-8	-1.54099000	-0.28018000	-0.56036000	0.00000000
309	-22	-4	-7	-1.54099000	-0.28018000	-0.49031500	0.00000000
310	-22	-4	-6	-1.54099000	-0.28018000	-0.42027000	0.00000000
311	-22	-4	-5	-1.54099000	-0.28018000	-0.35022500	0.00000000
312	-22	-4	-4	-1.54099000	-0.28018000	-0.28018000	0.00000000
313	-22	-4	-3	-1.54099000	-0.28018000	-0.21013500	0.00000000
314	-22	-4	-2	-1.54099000	-0.28018000	-0.14009000	0.00000000
315	-22	-4	-1	-1.54099000	-0.28018000	-0.07004500	0.00000000
316	-22	-4	0	-1.54099000	-0.28018000	0.00000000	0.00000000
317	-22	-4	1	-1.54099000	-0.28018000	0.07004500	0.00000000
318	-22	-4	2	-1.54099000	-0.28018000	0.14009000	0.00000000
319	-22	-4	3	-1.54099000	-0.28018000	0.21013500	0.00000000
320	-22	-4	4	-1.54099000	-0.28018000	0.28018000	0.00000000
321	-22	-4	5	-1.54099000	-0.28018000	0.35022500	0.00000000
322	-22	-4	6	-1.54099000	-0.28018000	0.42027000	0.00000000
323	-22	-4	7	-1.54099000	-0.28018000	0.49031500	0.00000000
324	-22	-4	8	-1.54099000	-0.28018000	0.56036000	0.00000000
325	-22	-4	9	-1.54099000	-0.28018000	0.63040500	0.00000000
326	-22	-3	-9	-1.54099000	-0.21013500	-0.63040500	0.00000000
327	-22	-3	-8	-1.54099000	-0.21013500	-0.56036000	0.00000000
328	-22	-3	-7	-1.54099000	-0.21013500	-0.49031500	0.00000000
329	-22	-3	-6	-1.54099000	-0.21013500	-0.42027000	0.00000000
330	-22	-3	-5	-1.54099000	-0.21013500	-0.35022500	0.00000000
331	-22	-3	-4	-1.54099000	-0.21013500	-0.28018000	0.00000000
332	-22	-3	-3	-1.54099000	-0.21013500	-0.21013500	0.00000000
333	-22	-3	-2	-1.54099000	-0.21013500	-0.14009000	0.00000000
334	-22	-3	-1	-1.54099000	-0.21013500	-0.07004500	0.00000000
335	-22	-3	0	-1.54099000	-0.21013500	0.00000000	0.00000000
336	-22	-3	1	-1.54099000	-0.21013500	0.07004500	0.00000000
337	-22	-3	2	-1.54099000	-0.21013500	0.14009000	0.00000000
338	-22	-3	3	-1.54099000	-0.21013500	0.21013500	0.00000000
339	-22	-3	4	-1.54099000	-0.21013500	0.28018000	0.00000000
340	-22	-3	5	-1.54099000	-0.21013500	0.35022500	0.00000000
341	-22	-3	6	-1.54099000	-0.21013500	0.42027000	0.00000000
342	-22	-3	7	-1.54099000	-0.21013500	0.49031500	0.00000000
343	-22	-3	8	-1.54099000	-0.21013500	0.56036000	0.00000000
344	-22	-3	9	-1.54099000	-0.21013500	0.63040500	0.00000000
345	-22	-2	-10	-1.54099000	-0.14009000	-0.70045000	0.00000000
346	-22	-2	-9	-1.54099000	-0.14009000	-0.63040500	0.00000000
347	-22	-2	-8	-1.54099000	-0.14009000	-0.56036000	0.00000000
348	-22	-2	-7	-1.54099000	-0.14009000	-0.49031500	0.00000000
349	-22	-2	-6	-1.54099000	-0.14009000	-0.42027000	0.00000000
350	-22	-2	-5	-1.54099000	-0.14009000	-0.35022500	0.00000000
351	-22	-2	-4	-1.54099000	-0.14009000	-0.28018000	0.00000000
352	-22	-2	-3	-1.54099000	-0.14009000	-0.21013500	0.00000000
353	-22	-2	-2	-1.54099000	-0.14009000	-0.14009000	0.00000000
354	-22	-2	-1	-1.54099000	-0.14009000	-0.07004500	0.00000000
355	-22	-2	0	-1.54099000	-0.14009000	0.00000000	0.00000000
356	-22	-2	1	-1.54099000	-0.14009000	0.07004500	0.00000000
357	-22	-2	2	-1.54099000	-0.14009000	0.14009000	0.00000000
358	-22	-2	3	-1.54099000	-0.14009000	0.21013500	0.00000000
359	-22	-2	4	-1.54099000	-0.14009000	0.28018000	0.00000000
360	-22	-2	5	-1.54099000	-0.14009000	0.35022500	0.00000000
361	-22	-2	6	-1.54099000	-0.14009000	0.42027000	0.00000000
362	-22	-2	7	-1.54099000	-0.14009000	0.49031500	0.00000000
363	-22	-2	8	-1.54099000	-0.14009000	0.56036000	0.00000000
364	-22	-2	9	-1.54099000	-0.14009000	0.63040500	0.00000000
365	-22	-2	10	-1.54099000	-0.14009000	0.70045000	0.00000000
366	-22	-1	-10	-1.54099000	-0.07004500	-0.70045000	0.00000000
367	-22	-1	-9	-1.54099000	-0.07004500	-0.63040500	0.00000000
368	-22	-1	-8	-1.54099000	-0.07004500	-0.56036000	0.00000000
369	-22	-1	-7	-1.54099000	-0.07004500	-0.49031500	0.00000000
370	-22	-1	-6	-1.54099000	-0.07004500	-0.42027000	0.00000000
371	-22	-1	-5	-1.54099000	-0.07004500	-0.35022500	0.00000000
372	-22	-1	-4	-1.54099000	-0.07004500	-0.28018000	0.00000000
373	-22	-1	-3	-1.54099000	-0.07004500	-0.21013500	0.00000000
374	-22	-1	-2	-1.54099000	-0.07004500	-0.14009000	0.00000000
375	-22	-1	-1	-1.54099000	-0.07004500	-0.07004500	0.00000000
376	-22	-1	0	-1.54099000	-0.07004500	0.00000000	0.00000000
377	-22	-1	1	-1.54099000	-0.07004500	0.07004500	0.00000000
378	-22	-1	2	-1.54099000	-0.07004500	0.14009000	0.00000000
379	-22	-1	3	-1.54099000	-0.07004500	0.21013500	0.00000000
380	-22	-1	4	-1.54099000	-0.07004500	0.28018000	0.00000000
381	-22	-1	5	-1.54099000	-0.07004500	0.35022500	0.00000000
382	-22	-1	6	-1.54099000	-0.07004500	0.42027000	0.00000000
383	-22	-1	7	-1.54099000	-0.07004500	0.49031500	0.00000000
384	-22	-1	8	-1.54099000	-0.07004500	0.56036000	0.00000000
385	-22	-1	9	-1.54099000	-0.07004500	0.63040500	0.00000000
